diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,400.0,long_00002_4077-237-2300,s2,no_recursion,3,-2.017833775287982,,,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,no_recursion,3,-8.925577573777625,,,0,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.49316614413605,0,0,0,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-3.6025144934254536,1,1,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.310954009049237,2,2,0,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.49316614413605,0,0,0,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,gated_deflation,3,-3.6025144934254536,1,1,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.310954009049237,2,2,0,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-21.489534187827463,,,2,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-6.915041434345751,,,2,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-9.682971365498332,,,2,s3,3
oracle,800.0,long_00002_4077-237-2300,s1,no_recursion,3,-16.35825560601054,,,0,s1,3
oracle,800.0,long_00002_4077-237-2300,s2,no_recursion,3,-1.8964480811220905,,,0,s2,3
oracle,800.0,long_00002_4077-237-2300,s3,no_recursion,3,-8.484244218412716,,,0,s3,3
oracle,800.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-16.35825560601054,0,0,0,s1,3
oracle,800.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-3.5721146170730833,1,1,0,s2,3
oracle,800.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.089899015561171,2,2,0,s3,3
oracle,800.0,long_00002_4077-237-2300,s1,gated_deflation,3,-16.35825560601054,0,0,0,s1,3
oracle,800.0,long_00002_4077-237-2300,s2,gated_deflation,3,-3.5721146170730833,1,1,0,s2,3
oracle,800.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.089899015561171,2,2,0,s3,3
oracle,800.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-19.98220622531995,,,2,s1,3
oracle,800.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-6.58060068880634,,,2,s2,3
oracle,800.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-9.085463855552035,,,2,s3,3
real,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-28.34353281153893,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.7882086936560295,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-18.88381122087512,,,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-9.005693462731356,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.360506027461458,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-18.88381122087512,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-9.005693462731356,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.360506027461458,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-18.88381122087512,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-37.1067897000916,,,2,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-8.261978395662641,,,2,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-18.7868802663506,,,2,SPEAKER_02,3
real,200.0,long_00002_4077-237-2300,s1,no_recursion,3,-21.17572309110468,,,0,SPEAKER_01,3
