scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
6930-81414-0000_4507-16021-0059_6829-68771-0029,s1,inf,43.850559692521685,7.566851673875643,4.408069191237697,0.40149607516874686
6930-81414-0000_4507-16021-0059_6829-68771-0029,s2,inf,44.76592589107254,3.3990222831751034,15.355463928279963,-0.008465398581883887
6930-81414-0000_4507-16021-0059_6829-68771-0029,s3,inf,inf,nan,nan,0.20575147710424357
2300-131720-0040_260-123440-0017_672-122797-0022,s1,inf,45.328967748197904,1.2534143654956358,2.7558057622086167,0.019359587721825777
2300-131720-0040_260-123440-0017_672-122797-0022,s2,inf,64.6740495972929,-2.293277891404299,-33.36745876585741,-0.2054576761835088
2300-131720-0040_260-123440-0017_672-122797-0022,s3,inf,inf,nan,nan,0.26440869621675045
2830-3980-0052_8224-274381-0007_5683-32879-0022,s1,inf,36.035908834779434,-5.599641428921708,-9.285864180608224,0.2214809873371898
2830-3980-0052_8224-274381-0007_5683-32879-0022,s2,inf,37.6762824672032,5.285098452375387,4.478832703673113,0.22657744758699627
2830-3980-0052_8224-274381-0007_5683-32879-0022,s3,inf,25.03454475170344,13.089056989202842,15.282869794133969,0.37035355464148884
6829-68771-0018_1580-141083-0038_1089-134691-0013,s1,inf,41.90960705431841,-0.5055476204832516,-0.07887992965134949,0.2913702661663031
6829-68771-0018_1580-141083-0038_1089-134691-0013,s2,inf,32.001938513953895,4.700295834856699,-1.3308120458599522,-0.040543214025183016
6829-68771-0018_1580-141083-0038_1089-134691-0013,s3,inf,42.576477999050596,11.004688224053979,15.497192382420742,0.4236342879753583
61-70968-0020_3575-170457-0011_1995-1826-0025,s1,inf,54.65698123381685,6.90441682981482,5.889030470868809,0.4099585161600693
61-70968-0020_3575-170457-0011_1995-1826-0025,s2,inf,27.107237134745077,0.7526652461654083,-0.06805284134681341,0.33564822238539826
61-70968-0020_3575-170457-0011_1995-1826-0025,s3,inf,71.9011790734095,4.787392358525151,-2.4871707891329304,0.1764734475195786
1995-1826-0021_7021-79740-0011_6930-81414-0002,s1,inf,71.35754175034953,1.3258908996306065,-8.569878088066147,0.31922745902864125
1995-1826-0021_7021-79740-0011_6930-81414-0002,s2,inf,62.9571222301908,5.058313251565928,8.163972010072918,0.1378115958866507
1995-1826-0021_7021-79740-0011_6930-81414-0002,s3,inf,31.64270767451058,8.153146579583744,9.579285692201195,-0.28192881160522165
8555-284447-0013_5142-33396-0048_2830-3980-0056,s1,inf,44.30583852120006,0.7868896599750143,-31.786806363328157,0.22435862336009804
8555-284447-0013_5142-33396-0048_2830-3980-0056,s2,inf,53.73386504288317,-6.493220231832172,8.15694626697719,0.041377798099249574
