scene,speaker,system,depth,si_sdr
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,3,-0.6399572096100014
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,3,8.84286207750366
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,1,37.92861774265438
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,2,-17.903214588460973
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,3,0.42327611699177614
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,1,25.481327368096125
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,2,-18.06245661253797
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,3,-3.6985656804321367
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,3,8.84286207750366
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,1,34.72666433993446
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,2,10.844281391141532
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,3,-8.127475328890664
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,1,30.36581268308126
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,2,-23.114114078816016
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,3,-7.184764566930624
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,3,8.84286207750366
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,1,33.86565427438058
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,2,14.888292631959263
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,3,-6.637573327754575
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,1,30.36581268308126
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,2,-23.114114078816016
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,3,-7.184764566930624
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,3,8.60491224784952
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,1,31.01196089820717
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,2,13.344322387989356
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,3,0.4203414965492514
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,1,25.757057542145333
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,2,-19.47517099780613
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,3,-4.1772574837028245
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,1,57.62413163318578
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,2,9.866838927683899
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,3,-9.44432099720173
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,2,7.032805684890374
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,3,6.31410807833761
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,1,51.89670732422306
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,3,0.3523098484480035
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,1,57.76480053463625
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,2,1.928428941060483
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,3,-4.405929876277829
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,2,7.032805684890374
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,3,6.31410807833761
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,1,22.706035804032645
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,3,-5.363030976465638
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,1,53.73297725534484
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,2,2.679899633064127
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,3,-5.812976686836854
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,2,7.032805684890374
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,3,6.31410807833761
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,1,22.706035804032645
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,3,-5.363030976465638
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,1,57.60940610960234
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,2,8.028950990225143
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,3,-9.733949953881329
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,2,4.920004303803447
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,3,5.45078472275165
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,1,44.111676953664336
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,3,-11.577137814737739
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,1,27.640728430942726
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,2,23.117097634885177
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,3,-10.751886327076697
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,3,6.427619596423698
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,1,28.57865612591601
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,2,-10.252016099043457
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,3,6.182278208507645
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,1,29.869134908466396
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,2,10.828282970325663
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,3,-15.868544399092903
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,3,6.427619596423698
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,1,20.473812162429596
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,2,-17.219740389400428
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,3,-5.887266324309268
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,1,29.869134908466396
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,2,10.828282970325663
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,3,-15.868544399092903
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,3,6.427619596423698
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,1,20.473812162429596
