scene,speaker,system,depth,si_sdr
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,2,8.538883117244719
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,3,5.628071008137107
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,1,33.98703175753912
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,2,13.079513171854833
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,no_recursion,3,5.076343876172134
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,1,35.85984888414724
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,no_recursion,3,-11.88074454065184
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,2,8.538883117244719
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,ungated_deflation,3,5.628071008137107
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,1,27.97795792908568
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,2,3.0560208936367665
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,ungated_deflation,3,-9.477343945877866
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,1,33.0050520258742
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,ungated_deflation,3,-9.34977789246352
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,2,8.538883117244719
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,3,5.628071008137107
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,1,28.520282360522792
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,2,2.531421254188574
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,3,-3.286596905019697
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,1,33.0050520258742
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,3,-9.34977789246352
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,1,inf
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,2,10.750087331169675
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,3,7.413776432688773
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,1,34.8306767395067
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,2,13.00224675460077
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,3,5.939231282237863
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,1,38.31832016427322
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,2,nan
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,3,-11.522735855153446
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,1,inf
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,2,10.91841117097626
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,no_recursion,3,-1.669024260039811
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,1,39.09021586661665
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,2,11.089492811346805
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,no_recursion,3,4.9707613900727825
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,1,32.49460498627584
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,2,nan
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,no_recursion,3,-0.12302739843084634
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,1,inf
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,2,10.91841117097626
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,ungated_deflation,3,-1.669024260039811
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,ungated_deflation,1,44.03664714479545
