diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,3,-17.425371406913563,6.0124117133135275,5.516102624395499,,,0,s2,3
oracle,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,3,-9.281523329304338,10.331017448861466,11.00211493379087,,,0,s3,3
real,0.0,long_00005_3570-908-4507,s1,no_recursion,3,-20.23112930890175,6.735706751773069,7.757306278849084,,,0,SPEAKER_01,3
real,0.0,long_00005_3570-908-4507,s3,no_recursion,3,-15.941837543092612,3.220364914333116,7.479550239189182,,,0,SPEAKER_02,3
real,0.0,long_00005_3570-908-4507,s2,no_recursion,3,-23.03778765966275,1.2528173064870423,0.9211481324736953,,,0,SPEAKER_00,3
real,0.0,long_00005_3570-908-4507,s1,ungated_deflation,3,-14.696289200869163,6.492858164885141,16.587691205236617,2,2,0,SPEAKER_01,3
real,0.0,long_00005_3570-908-4507,s3,ungated_deflation,3,-20.620090800392287,-1.079761764882143,6.449799920043505,1,1,0,SPEAKER_02,3
real,0.0,long_00005_3570-908-4507,s2,ungated_deflation,3,-23.03778765966275,1.2528173064870423,0.9211481324736953,0,0,0,SPEAKER_00,3
real,0.0,long_00005_3570-908-4507,s1,gated_deflation,3,-14.696289200869163,6.492858164885141,16.587691205236617,2,2,0,SPEAKER_01,3
real,0.0,long_00005_3570-908-4507,s3,gated_deflation,3,-20.620090800392287,-1.079761764882143,6.449799920043505,1,1,0,SPEAKER_02,3
real,0.0,long_00005_3570-908-4507,s2,gated_deflation,3,-23.03778765966275,1.2528173064870423,0.9211481324736953,0,0,0,SPEAKER_00,3
real,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,3,-20.23112930890175,6.735706751773069,7.757306278849084,,,0,SPEAKER_01,3
real,0.0,long_00005_3570-908-4507,s3,coarse_to_fine,3,-15.941837543092612,3.220364914333116,7.479550239189182,,,0,SPEAKER_02,3
real,0.0,long_00005_3570-908-4507,s2,coarse_to_fine,3,-23.03778765966275,1.2528173064870423,0.9211481324736953,,,0,SPEAKER_00,3
oracle,0.0,long_00006_1089-8230-7176,s1,no_recursion,3,-39.49083901006387,4.9976060506599245,10.460105661412252,,,0,s1,3
oracle,0.0,long_00006_1089-8230-7176,s2,no_recursion,3,-6.023697817516487,2.583864141256015,10.140361468002146,,,0,s2,3
oracle,0.0,long_00006_1089-8230-7176,s3,no_recursion,3,-19.81761176070159,6.200073032663487,6.979007374535433,,,0,s3,3
oracle,0.0,long_00006_1089-8230-7176,s1,ungated_deflation,3,-39.49083901006387,4.9976060506599245,10.460105661412252,0,0,0,s1,3
oracle,0.0,long_00006_1089-8230-7176,s2,ungated_deflation,3,-6.432238127921009,-0.4791456288594325,18.87084392005686,1,1,0,s2,3
oracle,0.0,long_00006_1089-8230-7176,s3,ungated_deflation,3,-13.417804516828353,3.6413330106162927,19.488411184436842,2,2,0,s3,3
oracle,0.0,long_00006_1089-8230-7176,s1,gated_deflation,3,-39.49083901006387,4.9976060506599245,10.460105661412252,0,0,0,s1,3
oracle,0.0,long_00006_1089-8230-7176,s2,gated_deflation,3,-6.432238127921009,-0.4791456288594325,18.87084392005686,1,1,0,s2,3
oracle,0.0,long_00006_1089-8230-7176,s3,gated_deflation,3,-13.417804516828353,3.6413330106162927,19.488411184436842,2,2,0,s3,3
oracle,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,3,-39.49083901006387,4.9976060506599245,10.460105661412252,,,0,s1,3
oracle,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,3,-6.023697817516487,2.583864141256015,10.140361468002146,,,0,s2,3
oracle,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,3,-19.81761176070159,6.200073032663487,6.979007374535433,,,0,s3,3
real,0.0,long_00006_1089-8230-7176,s1,no_recursion,3,-26.038776266024797,2.468408576065593,8.561465741954306,,,0,SPEAKER_02,3
real,0.0,long_00006_1089-8230-7176,s2,no_recursion,3,-7.778373404064328,1.1718747642846858,7.8582311955365824,,,0,SPEAKER_01,3
real,0.0,long_00006_1089-8230-7176,s3,no_recursion,3,-15.641367374155601,3.772191969777311,5.2710114321202255,,,0,SPEAKER_00,3
real,0.0,long_00006_1089-8230-7176,s1,ungated_deflation,3,-17.03919355336691,0.45720436036064965,18.759602574487232,2,2,0,SPEAKER_02,3
real,0.0,long_00006_1089-8230-7176,s2,ungated_deflation,3,-8.897360085374096,-2.8509790128426626,14.768173869974765,1,1,0,SPEAKER_01,3
real,0.0,long_00006_1089-8230-7176,s3,ungated_deflation,3,-15.641367374155601,3.772191969777311,5.2710114321202255,0,0,0,SPEAKER_00,3
real,0.0,long_00006_1089-8230-7176,s1,gated_deflation,3,-23.38678251027988,1.5332347669505995,7.911474292541599,2,1,0,SPEAKER_02,3
real,0.0,long_00006_1089-8230-7176,s2,gated_deflation,3,-8.897360085374096,-2.8509790128426626,14.768173869974765,1,1,0,SPEAKER_01,3
real,0.0,long_00006_1089-8230-7176,s3,gated_deflation,3,-15.641367374155601,3.772191969777311,5.2710114321202255,0,0,0,SPEAKER_00,3
real,0.0,long_00006_1089-8230-7176,s1,coarse_to_fine,3,-26.038776266024797,2.468408576065593,8.561465741954306,,,0,SPEAKER_02,3
real,0.0,long_00006_1089-8230-7176,s2,coarse_to_fine,3,-7.778373404064328,1.1718747642846858,7.8582311955365824,,,0,SPEAKER_01,3
real,0.0,long_00006_1089-8230-7176,s3,coarse_to_fine,3,-15.641367374155601,3.772191969777311,5.2710114321202255,,,0,SPEAKER_00,3
oracle,0.0,long_00007_1188-4077-121,s1,no_recursion,3,-16.127113070645333,6.009881322022785,11.137612011014685,,,0,s1,3
oracle,0.0,long_00007_1188-4077-121,s2,no_recursion,3,-10.718988006628551,3.3293085387598707,6.508320498878357,,,0,s2,3
oracle,0.0,long_00007_1188-4077-121,s3,no_recursion,3,-20.599071276191747,0.002427057779307694,8.349349621224674,,,0,s3,3
oracle,0.0,long_00007_1188-4077-121,s1,ungated_deflation,3,-16.127113070645333,6.009881322022785,11.137612011014685,0,0,0,s1,3
oracle,0.0,long_00007_1188-4077-121,s2,ungated_deflation,3,-7.8516480004841505,1.2588642916696837,14.212766834387317,1,1,0,s2,3
oracle,0.0,long_00007_1188-4077-121,s3,ungated_deflation,3,-13.896199300614446,-2.4579130316687747,19.37966035994245,2,2,0,s3,3
oracle,0.0,long_00007_1188-4077-121,s1,gated_deflation,3,-16.127113070645333,6.009881322022785,11.137612011014685,0,0,0,s1,3
oracle,0.0,long_00007_1188-4077-121,s2,gated_deflation,3,-7.8516480004841505,1.2588642916696837,14.212766834387317,1,1,0,s2,3
oracle,0.0,long_00007_1188-4077-121,s3,gated_deflation,3,-13.896199300614446,-2.4579130316687747,19.37966035994245,2,2,0,s3,3
oracle,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,3,-16.127113070645333,6.009881322022785,11.137612011014685,,,0,s1,3
oracle,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,3,-10.718988006628551,3.3293085387598707,6.508320498878357,,,0,s2,3
oracle,0.0,long_00007_1188-4077-121,s3,coarse_to_fine,3,-20.599071276191747,0.002427057779307694,8.349349621224674,,,0,s3,3
real,0.0,long_00007_1188-4077-121,s1,no_recursion,3,-17.8990459111794,4.509311505484145,10.548665948262828,,,0,SPEAKER_00,3
real,0.0,long_00007_1188-4077-121,s2,no_recursion,3,-9.29401810421933,2.53941644363886,8.877373856402645,,,0,SPEAKER_01,3
real,0.0,long_00007_1188-4077-121,s3,no_recursion,3,-19.119092460680072,-0.022702422941676716,9.092742038810234,,,0,SPEAKER_02,3
real,0.0,long_00007_1188-4077-121,s1,ungated_deflation,3,-17.8990459111794,4.509311505484145,10.548665948262828,0,0,0,SPEAKER_00,3
real,0.0,long_00007_1188-4077-121,s2,ungated_deflation,3,-5.351550452098529,3.083951848694617,21.450433585356926,2,2,0,SPEAKER_01,3
real,0.0,long_00007_1188-4077-121,s3,ungated_deflation,3,-24.21089262478017,-2.4056190786122813,7.649638862851714,1,1,0,SPEAKER_02,3
real,0.0,long_00007_1188-4077-121,s1,gated_deflation,3,-17.8990459111794,4.509311505484145,10.548665948262828,0,0,0,SPEAKER_00,3
real,0.0,long_00007_1188-4077-121,s2,gated_deflation,3,-5.351550452098529,3.083951848694617,21.450433585356926,2,2,0,SPEAKER_01,3
real,0.0,long_00007_1188-4077-121,s3,gated_deflation,3,-24.21089262478017,-2.4056190786122813,7.649638862851714,1,1,0,SPEAKER_02,3
real,0.0,long_00007_1188-4077-121,s1,coarse_to_fine,3,-17.8990459111794,4.509311505484145,10.548665948262828,,,0,SPEAKER_00,3
real,0.0,long_00007_1188-4077-121,s2,coarse_to_fine,3,-9.29401810421933,2.53941644363886,8.877373856402645,,,0,SPEAKER_01,3
