scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00027_2300-5639-6930,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1254840,1.0,0.0
long_00027_2300-5639-6930,real,0.0,3,0.09027445730132926,0.0796236970450416,0.0,0.010650760256287655,0.7069862948283272,3,3,0,0,1254840,0.7069862948283272,0.0
long_00027_2300-5639-6930,real_index_order,0.0,3,0.09027445730132926,0.0796236970450416,0.0,0.010650760256287655,0.7069862948283272,3,3,0,0,1254840,0.7069862948283272,0.0
long_00028_5105-8455-1188,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1306080,1.0,0.0
long_00028_5105-8455-1188,real,0.0,3,0.1045686328555678,0.1045686328555678,0.0,0.0,0.8326713704967058,3,3,0,0,1306080,0.8326713704967058,0.0
long_00028_5105-8455-1188,real_index_order,0.0,3,0.1045686328555678,0.1045686328555678,0.0,0.0,0.8326713704967058,3,3,0,0,1306080,0.8326713704967058,0.0
long_00029_61-2830-7729,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1305680,1.0,0.0
long_00029_61-2830-7729,real,0.0,3,0.11168356718338338,0.11033943998529502,0.0,0.0013441271980883524,0.7646036161335188,3,3,0,0,1305680,0.7646036161335188,0.0
long_00029_61-2830-7729,real_index_order,0.0,3,0.11168356718338338,0.11033943998529502,0.0,0.0013441271980883524,0.7646036161335188,3,3,0,0,1305680,0.7646036161335188,0.0
long_00030_1580-260-1995,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1334361,1.0,0.0
long_00030_1580-260-1995,real,0.0,3,0.1545054149514262,0.1545054149514262,0.0,0.0,0.6447344405913488,3,3,0,0,1334361,0.6447344405913488,0.0
long_00030_1580-260-1995,real_index_order,0.0,3,0.1545054149514262,0.1545054149514262,0.0,0.0,0.6447344405913488,3,3,0,0,1334361,0.6447344405913488,0.0
long_00031_2300-5639-260,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1307000,1.0,0.0
long_00031_2300-5639-260,real,0.0,3,0.08598699311400153,0.08020275439938791,0.0,0.005784238714613619,0.7569617161129863,3,3,0,0,1307000,0.7569617161129863,0.0
long_00031_2300-5639-260,real_index_order,0.0,3,0.08598699311400153,0.08020275439938791,0.0,0.005784238714613619,0.7569617161129863,3,3,0,0,1307000,0.7569617161129863,0.0
long_00032_7021-4446-6930,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1261680,1.0,0.0
long_00032_7021-4446-6930,real,0.0,3,0.09693186861961829,0.09115385834760002,0.0,0.005778010272018261,0.7922757942086027,3,3,0,0,1261680,0.7922757942086027,0.0
long_00032_7021-4446-6930,real_index_order,0.0,3,0.09693186861961829,0.09115385834760002,0.0,0.005778010272018261,0.7922757942086027,3,3,0,0,1261680,0.7922757942086027,0.0
long_00033_4507-4446-4970,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1349600,1.0,0.0
long_00033_4507-4446-4970,real,0.0,3,0.144446502667457,0.144446502667457,0.0,0.0,0.7211967373295383,3,3,0,0,1349600,0.7211967373295383,0.0
long_00033_4507-4446-4970,real_index_order,0.0,3,0.144446502667457,0.144446502667457,0.0,0.0,0.7211967373295383,3,3,0,0,1349600,0.7211967373295383,0.0
long_00034_61-260-8555,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1313120,1.0,0.0
long_00034_61-260-8555,real,0.0,3,0.11193950286340928,0.11193950286340928,0.0,0.0,0.836216165677154,3,3,0,0,1313120,0.836216165677154,0.0
long_00034_61-260-8555,real_index_order,0.0,3,0.11193950286340928,0.11193950286340928,0.0,0.0,0.836216165677154,3,3,0,0,1313120,0.836216165677154,0.0
long_00035_260-4992-7021,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1235280,1.0,0.0
long_00035_260-4992-7021,real,0.0,3,0.13116864192733632,0.1274528851758306,0.0,0.0037157567515057315,0.6393519408147579,3,3,0,0,1235280,0.6393519408147579,0.0
long_00035_260-4992-7021,real_index_order,0.0,3,0.13116864192733632,0.1274528851758306,0.0,0.0037157567515057315,0.6393519408147579,3,3,0,0,1235280,0.6393519408147579,0.0
long_00036_908-7176-3575,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1344200,1.0,0.0
long_00036_908-7176-3575,real,0.0,3,0.08697738431780985,0.08697738431780985,0.0,0.0,0.8659968165539196,3,3,0,0,1344200,0.8659968165539196,0.0
long_00036_908-7176-3575,real_index_order,0.0,3,0.08697738431780985,0.08697738431780985,0.0,0.0,0.8659968165539196,3,3,0,0,1344200,0.8659968165539196,0.0
long_00037_4970-7176-1580,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1284401,1.0,0.0
long_00037_4970-7176-1580,real,0.0,3,0.1601921829708946,0.15378063392974625,0.0,0.006411549041148364,0.5786457329994221,3,3,0,0,1284401,0.5786457329994221,0.0
long_00037_4970-7176-1580,real_index_order,0.0,3,0.1601921829708946,0.15378063392974625,0.0,0.006411549041148364,0.5786457329994221,3,3,0,0,1284401,0.5786457329994221,0.0
long_00038_6829-8224-5639,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1567080,1.0,0.0
long_00038_6829-8224-5639,real,0.0,3,0.07873880082701586,0.07873880082701586,0.0,0.0,0.8328358208955224,3,3,0,0,1567080,0.8328358208955224,0.0
long_00038_6829-8224-5639,real_index_order,0.0,3,0.07873880082701586,0.07873880082701586,0.0,0.0,0.8328358208955224,3,3,0,0,1567080,0.8328358208955224,0.0
long_00039_2961-4992-61,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1293480,1.0,0.0
long_00039_2961-4992-61,real,0.0,3,0.11630253270247704,0.11557194544948511,0.0,0.0007305872529919287,0.7295781602708804,3,3,0,0,1293480,0.7295781602708804,0.0
long_00039_2961-4992-61,real_index_order,0.0,3,0.11630253270247704,0.11557194544948511,0.0,0.0007305872529919287,0.7295781602708804,3,3,0,0,1293480,0.7295781602708804,0.0
long_00040_8463-2300-2094,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1246520,1.0,0.0
long_00040_8463-2300-2094,real,0.0,3,0.13217998908962553,0.13217998908962553,0.0,0.0,0.7573426065041439,3,3,0,0,1246520,0.7573426065041439,0.0
