scene,speaker,m,population,mean_variance,margin,vad_coverage,artifact_score
long_00009_5536-6345-3536,s1,3,contaminated,0.0,0.6520461495249382,1.0,0.7308140987214599
long_00009_5536-6345-3536,s1,3,swapped,0.0,0.5841698606728274,1.0,0.7465277818071514
long_00009_5536-6345-3536,s1,3,clean_correct,0.0,0.648071050059308,0.8986528061141876,0.7241197266051786
long_00009_5536-6345-3536,s1,3,clean_swapped,0.0,0.5721610489197642,0.0010848796916998608,0.8063799332748237
long_00009_5536-6345-3536,s2,3,honest,0.0,0.2932694478743222,0.9287615330021292,0.683113602967525
long_00009_5536-6345-3536,s2,3,correct,0.0,0.2932694478743222,0.9287615330021292,0.683113602967525
long_00009_5536-6345-3536,s2,3,contaminated,7.803661861370967e-05,0.2932694478743222,0.9287615330021292,0.683113602967525
long_00009_5536-6345-3536,s2,3,swapped,0.0,0.24562985249592129,1.0,0.6945723088395337
long_00009_5536-6345-3536,s2,3,clean_correct,0.0,0.32544914551757886,0.7525727466288148,0.6723138341218637
long_00009_5536-6345-3536,s2,3,clean_swapped,0.0,0.1294090785429446,0.39831366808611307,0.7714271702512717
long_00009_5536-6345-3536,s3,3,honest,0.0,0.2888948569048092,0.9969390253856828,0.7345787740996342
long_00009_5536-6345-3536,s3,3,correct,0.0,0.2888948569048092,0.9969390253856828,0.7345787740996342
long_00009_5536-6345-3536,s3,3,contaminated,0.0,0.2888948569048092,0.9969390253856828,0.7345787740996342
long_00009_5536-6345-3536,s3,3,swapped,0.0,0.24585948955156878,0.9247136288194161,0.729420510248427
long_00009_5536-6345-3536,s3,3,clean_correct,0.0,0.3829555209387275,0.827612711887465,0.7369320401787082
long_00009_5536-6345-3536,s3,3,clean_swapped,0.0,0.1402506591543191,0.8166612249340189,0.7259572581872858
long_00010_5536-6241-3576,s1,3,honest,0.0,0.5306763540189332,0.9478970028150356,0.7397149763336293
long_00010_5536-6241-3576,s1,3,correct,0.0,0.5306763540189332,0.9478970028150356,0.7397149763336293
long_00010_5536-6241-3576,s1,3,contaminated,0.0,0.5306763540189332,0.9478970028150356,0.7397149763336293
long_00010_5536-6241-3576,s1,3,swapped,0.0,0.5034935707943566,0.9443202516973008,0.7393516847477758
long_00010_5536-6241-3576,s1,3,clean_correct,0.0,0.582680819715993,0.86267593972512,0.7242175333186107
long_00010_5536-6241-3576,s1,3,clean_swapped,0.0,0.5176655680534404,0.0009687034277198212,0.8070436921446931
long_00010_5536-6241-3576,s2,3,honest,0.0,0.45010277754723976,0.9772000774930982,0.7845286596375134
